config_path,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,status,error
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-002-002.tensors.npz,Be-H-H,,hgbs-5,2,2,4,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-002-004.tensors.npz,Be-H-H,,hgbs-5,2,4,6,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-004-004.tensors.npz,Be-H-H,,hgbs-5,4,4,8,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-004-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-004-006.tensors.npz,Be-H-H,,hgbs-5,4,6,10,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-004-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-004-008.tensors.npz,Be-H-H,,hgbs-5,4,8,12,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-008.tensors.npz,Be-H-H,,hgbs-5,6,8,14,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-010_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-010.tensors.npz,Be-H-H,,hgbs-5,6,10,16,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-012_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-012.tensors.npz,Be-H-H,,hgbs-5,6,12,18,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-014_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-014.tensors.npz,Be-H-H,,hgbs-5,6,14,20,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-002-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-002-002.tensors.npz,Be-H-H,,sto-6g,2,2,4,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-002-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-002-004.tensors.npz,Be-H-H,,sto-6g,2,4,6,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-004-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-004-004.tensors.npz,Be-H-H,,sto-6g,4,4,8,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-004-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-004-006.tensors.npz,Be-H-H,,sto-6g,4,6,10,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-004-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-004-008.tensors.npz,Be-H-H,,sto-6g,4,8,12,skipped,
hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-006-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/polyatomic_library/BeH2/s-1.00/sto-6g/BeH2_s-1.00_sto-6g_as-006-008.tensors.npz,Be-H-H,,sto-6g,6,8,14,skipped,
