# BASELINE: Trotter state error for QPE Hamiltonian simulation.
# 
# metric        : err = || psi_trotter - psi_exact ||_2
# initial state : Hartree-Fock |11..100..0> (top n_occ bits, JW)
# reference     : scipy expm_multiply, exp(-i H T) psi0
# generator     : H_terms = pi * (H - shift*I) / normalization,
#                 identity term excluded
# normalization : 2 * max(1, one_norm - |shift|)  [Julia hamiltonian_utils.jl]
# term ordering : ascending signed coefficient, ties broken by ascending
#                 lexicographic Pauli string (deterministic; the
#                 ascending direction follows Julia, the tie-break is an
#                 addition)
# delta_t       : 1 / n_steps, where n_steps is PER U and
#                 U = exp(-i H_terms) is one unit of evolution
# total_steps   : T / delta_t = T * n_steps
# dt_norm       : delta_t * sum|c_j|; equals pi/2, pi/4, pi/8 wherever
#                 the shifted one-norm is at least 1, which fixes the
#                 dimensionless step size across systems
# T             : swept, identical for every Hamiltonian. NOT derived
#                 from any per-molecule circuit-depth table; it is an
#                 independent axis of the study.
# mapping       : bk   (HF determinant encoded per mapping:
#                 JW stores the occupation directly, BK stores
#                 (encoder_bk @ occ) mod 2, as in hamgen.get_initial_state)
# basis         : sto-6g
# active space  : all
# T swept       : 64,256,512
# n_steps swept : 1,2,4   (delta_t = 1.0, 0.5, 0.25)
# orders        : 1,2,4
# bond lengths  : all per active space, evenly spaced over the sorted L range (deterministic)
# 
# Generated by compute_trotter_state_error.py.
molecule,L,basis,active,mapping,n_qubits,T,n_steps,total_steps,delta_t,dt_norm,order,err,seconds,one_norm,normalization
N,nan,sto-6g,001-001,bk,2,64,1,64,1.0,0.39578566649955094,1,1.397735073462211e-14,0.001,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,64,2,128,0.5,0.19789283324977547,1,1.021465519080908e-14,0.002,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,64,4,256,0.25,0.09894641662488773,1,2.015941549611042e-14,0.003,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,64,1,64,1.0,0.39578566649955094,2,1.3457190012878228e-14,0.001,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,64,2,128,0.5,0.19789283324977547,2,2.039579716598493e-14,0.003,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,64,4,256,0.25,0.09894641662488773,2,2.997931103410507e-14,0.005,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,64,1,64,1.0,0.39578566649955094,4,4.063875045410953e-14,0.006,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,64,2,128,0.5,0.19789283324977547,4,3.686542320760843e-14,0.013,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,64,4,256,0.25,0.09894641662488773,4,1.6135039701298817e-14,0.025,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,256,1,256,1.0,0.39578566649955094,1,7.896656378517847e-14,0.003,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,256,2,512,0.5,0.19789283324977547,1,1.088305286764363e-13,0.006,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,256,4,1024,0.25,0.09894641662488773,1,3.810056098534992e-14,0.012,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,256,1,256,1.0,0.39578566649955094,2,9.553816266882561e-14,0.005,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,256,2,512,0.5,0.19789283324977547,2,3.866514068893169e-14,0.01,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,256,4,1024,0.25,0.09894641662488773,2,4.130836312509721e-14,0.02,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,256,1,256,1.0,0.39578566649955094,4,8.733469500452963e-14,0.025,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,256,2,512,0.5,0.19789283324977547,4,5.108232534890496e-14,0.052,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,256,4,1024,0.25,0.09894641662488773,4,8.258059465889016e-14,0.104,54.145734798375415,2.0
N,nan,sto-6g,001-001,bk,2,512,1,512,1.0,0.39578566649955094,1,3.367261089209639e-13,0.006,54.145734798375415,2.0
